"","variable_name","units","generalType","isXY","isID","variable_link","isTime","isCatch","isEffort","isCPUE","isLon","isLat","isValue","isZoneArea","isPort","isPrice","isTrip","isHaul","isOther","tableLink"
"50","LonLat_START_LAT","decimal degrees","Latitude",0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
"51","MM_PERCENT_MONITORED","percent","Other Numeric",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"52","NMFS_AREA_Code",NA,"Code Numeric",0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"53","NMFS_AREA",NA,"Code Numeric",0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"54","OBS_CREW_SIZE","numeric",NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"55","OBSERVER_ESTIMATE_METHOD_Code",NA,"Code String",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"56","OBSERVER_ESTIMATE_METHOD",NA,"Code String",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"57","OBSERVER_ESTIMATE_MT","metric tons","Other Numeric",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"58","OFFICIAL_TOTAL_CATCH_MT","metric tons","Other Numeric",0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"59","PARTIAL_DELIVERY_FLAG_Code",NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"60","PARTIAL_DELIVERY_FLAG",NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"61","PERFORMANCE_Code",NA,"Code Numeric",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"62","PERFORMANCE",NA,"Code Numeric",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"63","PERMIT_Code",NA,"Code Numeric",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"64","PERMIT",NA,"Code Numeric",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"65","PORT_CODE_Code",NA,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
"66","PORT_CODE",NA,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
